% op straat op intimiderende wijze:  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oog in Al, Welgelegen;Lombok, Leidseweg;Nieuw Engeland, Schepenbrt;Pijlsweerd;Ondiep, 2e Daalsebrt;Zuilen-west;Zuilen-noord en -oost;Taagdreef, Wolgadreef;Zamenhofdreef, Neckardreef;Vechtzoom, Klopvaart;Zambesidreef, Tigrisdreef;Votulast;Tuindorp, Voordorp;Wittevrouwen, Zeeheldenbrt;Oudwijk, Buiten Wittevrouwen;Abstede, Gansstraat;Wilhelminapark, Rijnsweerd;Binnenstad city- en winkelgeb;Binnenstad woongebied;Lunetten;Oud Hoograven, Tolsteeg;Nieuw Hoograven, Bokkenbrt;Dichterswijk, Rivierenwijk;Transwijk;Kanaleneiland;Terwijde, De Wetering;Het Zand;Leidsche Rijn Centrum e.o;Parkwijk, Langerak;Leidsche Rijn-zuid;Vleuten, Haarzuilens;Veldhuizen, Vleuterweide;De Meern;Rijnenburg;onbekend
nageroepen met seksuele opmerkingen [2019];5%;13%;10%;14%;11%;11%;8%;7%;5%;6%;9%;12%;8%;8%;7%;8%;13%;15%;15%;8%;9%;5%;9%;8%;10%;6%;2%;7%;7%;.;3%;4%;3%;.;.
nageroepen met seksuele opmerkingen [2021];6%;15%;13%;11%;11%;11%;10%;10%;6%;6%;7%;5%;10%;13%;13%;8%;14%;14%;6%;10%;9%;4%;9%;11%;10%;3%;2%;7%;3%;.;7%;1%;4%;.;.
nageroepen met seksuele opmerkingen [2023];9%;11%;17%;14%;11%;8%;10%;7%;9%;8%;5%;12%;7%;9%;11%;14%;11%;14%;13%;8%;7%;7%;9%;9%;9%;4%;5%;4%;3%;.;5%;5%;4%;.;
nageroepen met seksuele opmerkingen [2025];7%;19%;15%;13%;10%;10%;9%;7%;13%;9%;10%;11%;6%;10%;13%;15%;13%;18%;18%;8%;10%;9%;9%;11%;8%;6%;8%;6%;5%;.;3%;4%;4%;.;
nagesist [2019];8%;14%;10%;10%;11%;6%;7%;6%;4%;6%;4%;8%;5%;5%;5%;6%;8%;12%;12%;7%;8%;8%;7%;5%;9%;3%;3%;7%;5%;.;5%;5%;2%;.;.
nagesist [2021];5%;12%;10%;8%;7%;9%;6%;12%;5%;5%;3%;8%;7%;5%;9%;6%;8%;14%;8%;7%;8%;4%;8%;5%;4%;2%;2%;6%;6%;.;3%;1%;2%;.;.
nagesist [2023];6%;9%;10%;10%;8%;8%;7%;4%;9%;5%;6%;6%;5%;6%;8%;6%;8%;12%;10%;8%;6%;5%;8%;8%;7%;2%;3%;4%;3%;.;3%;4%;3%;.;
nagesist [2025];8%;17%;11%;8%;7%;8%;4%;6%;8%;8%;7%;9%;7%;8%;9%;4%;11%;16%;11%;5%;9%;6%;8%;9%;10%;7%;7%;6%;5%;.;5%;4%;4%;.;
bespuugd [2019];1%;3%;2%;2%;3%;2%;1%;3%;2%;4%;2%;1%;1%;2%;0%;1%;2%;1%;4%;3%;1%;3%;2%;3%;2%;1%;2%;1%;1%;.;1%;1%;0%;.;.
bespuugd [2021];2%;1%;1%;2%;3%;3%;2%;3%;2%;5%;2%;2%;2%;2%;3%;3%;1%;5%;4%;0%;3%;3%;1%;3%;3%;1%;1%;1%;3%;.;1%;1%;0%;.;.
