%  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oog in Al, Welgelegen;Lombok, Leidseweg;Nieuw Engeland, Schepenbrt;Pijlsweerd;Ondiep, 2e Daalsebrt;Zuilen-west;Zuilen-noord en -oost;Taagdreef, Wolgadreef;Zamenhofdreef, Neckardreef;Vechtzoom, Klopvaart;Zambesidreef, Tigrisdreef;Votulast;Tuindorp, Voordorp;Wittevrouwen, Zeeheldenbrt;Oudwijk, Buiten Wittevrouwen;Abstede, Gansstraat;Wilhelminapark, Rijnsweerd;Binnenstad city- en winkelgeb;Binnenstad woongebied;Lunetten;Oud Hoograven, Tolsteeg;Nieuw Hoograven, Bokkenbrt;Dichterswijk, Rivierenwijk;Transwijk;Kanaleneiland;Terwijde, De Wetering;Het Zand;Leidsche Rijn Centrum e.o;Parkwijk, Langerak;Leidsche Rijn-zuid;Vleuten, Haarzuilens;Veldhuizen, Vleuterweide;De Meern;Rijnenburg;onbekend
% vaak last van jongeren op straat in de buurt [2010];17%;18%;22%;25%;23%;21%;30%;38%;29%;24%;42%;20%;14%;6%;11%;21%;5%;37%;17%;14%;14%;32%;23%;26%;48%;17%;8%;.;18%;.;7%;10%;10%;.;.
% vaak last van jongeren op straat in de buurt [2011];15%;22%;19%;26%;24%;9%;28%;37%;28%;27%;41%;19%;15%;7%;13%;16%;5%;43%;26%;13%;12%;31%;18%;27%;56%;20%;10%;.;19%;.;11%;13%;9%;.;-
% vaak last van jongeren op straat in de buurt [2013];14%;26%;18%;22%;23%;16%;26%;36%;29%;31%;34%;22%;9%;5%;12%;17%;8%;40%;20%;16%;10%;27%;22%;16%;42%;14%;5%;.;18%;.;14%;11%;9%;.;-
% vaak last van jongeren op straat in de buurt [2015];9%;30%;14%;26%;22%;19%;31%;51%;32%;29%;46%;19%;8%;9%;7%;18%;8%;36%;21%;13%;14%;35%;18%;24%;48%;13%;11%;.;18%;.;9%;11%;10%;.;
% vaak last van jongeren op straat in de buurt [2017];13%;34%;19%;21%;23%;16%;35%;35%;35%;37%;43%;16%;7%;8%;15%;16%;10%;36%;17%;30%;19%;32%;24%;26%;46%;12%;10%;.;17%;.;6%;12%;7%;.;
% vaak last van jongeren op straat in de buurt [2019];13%;32%;13%;17%;24%;16%;24%;41%;36%;27%;48%;7%;5%;9%;9%;18%;7%;31%;22%;18%;16%;25%;22%;26%;38%;9%;7%;20%;11%;.;9%;14%;9%;.;.
% vaak last van jongeren op straat in de buurt [2021];14%;32%;16%;15%;24%;21%;35%;44%;38%;29%;36%;16%;12%;14%;11%;15%;9%;35%;26%;16%;19%;24%;16%;26%;44%;14%;14%;24%;14%;.;11%;20%;18%;.;.
% vaak last van jongeren op straat in de buurt [2023];11%;25%;18%;19%;19%;12%;29%;35%;27%;29%;34%;11%;6%;14%;8%;16%;5%;31%;23%;21%;16%;29%;16%;20%;40%;15%;16%;18%;13%;.;14%;15%;9%;.;
% vaak last van jongeren op straat in de buurt [2025];17%;24%;12%;17%;24%;19%;30%;44%;39%;37%;37%;15%;7%;8%;8%;16%;6%;38%;22%;17%;17%;30%;14%;26%;47%;29%;28%;22%;15%;.;8%;18%;8%;.;
% vaak last van drugsgebruik of drugshandel in de buurt [2017];14%;37%;26%;17%;20%;8%;20%;22%;25%;23%;33%;9%;3%;8%;8%;5%;2%;13%;18%;18%;6%;13%;11%;14%;24%;4%;5%;.;5%;.;3%;3%;6%;.;
